编号,item编号,预设状态
m_step,m_id,m_state
1,1012,off
2,1013,off
3,1014,off
4,1015,off
5,1016,off
6,1017,off
7,1112,off
8,1113,off
9,1114,off
10,1115,off
11,1116,off
12,1117,off
13,1212,off
14,1213,off
15,1214,off
16,1215,off
17,1216,off
18,1217,off
19,1018,4
20,1118,4
21,1218,4
22,1019,off
23,1119,off
24,1219,off
25,1020,100
26,1021,100
27,1022,100
28,1023,100
29,1024,100
30,1025,100
31,1026,100
32,1027,100
33,1028,100
34,1029,100
35,1120,100
36,1121,100
37,1122,100
38,1123,100
39,1124,100
40,1125,100
41,1126,100
42,1127,100
43,1128,100
44,1129,100
45,1220,100
46,1221,100
47,1222,100
48,1223,100
49,1224,100
50,1225,100
51,1226,100
52,1227,100
53,1228,100
54,1229,100
55,1030,off
56,1031,off
57,1032,off
58,1130,off
59,1131,off
60,1132,off
61,1230,off
62,1231,off
63,1232,off
64,1036,off
65,1136,off
66,1236,off
