名称,第一语言,第二语言
Name,Firstlan,Secondlan
Button_FirstLan,中文,中文
Button_SecondLan,English,English
Debug1,燃气电控房上电前检查操作,1
Debug2,直流屏上电操作,1
Debug3,MCC柜操作,1
Debug4,燃机及市电控制柜操作,1
Debug5,高压开关柜操作,1
Debug6,电气控制柜,1
Debug7,检查燃料管路,1
Debug8,开启燃气管道阀门,1
Debug9,操作调压阀,1
Debug10,调试10,1
Debug11,燃气机组本地启动操作准备工作,1
Debug12,燃气机组远程启动操作准备工作,1
Debug13,燃气机组本地启动操作,1
Debug14,燃气机组远程启动操作,1
Debug15,MCC抽屉故障-指示灯不亮,1
Debug16,综合控制箱操作流程,1
Debug17,电源分配箱操作流程,1
Debug18,1#变频传动单元控制电源上电流程,1
Debug19,cdp通电,1
Debug20,cdp信号面板,1
Debug21,cdp历史故障及复位,1
Debug22,cdp当前故障及复位,1
Debug23,cdp参数设置,1
Debug24,cdp参数锁定,1
Debug25,cdp本地控制电机运行,1
Debug26,变频传动正常断电,1
Debug27,变频传动紧急断电,1
Move1,搬安1,1
Move2,搬安2,1
Move3,搬安3,1
Maintain1,燃气机启动前检查,1
Maintain2,维护2,1
Fault1,事故1,1
Fault2,事故2,1
Fault3,事故3,1
Fault4,事故4,1
Fault5,事故5,1
Fault6,事故6,1
Fault7,事故7,1
Fault8,事故8,1
Fault9,事故9,1
Fault10,事故10,1
Fault11,事故11,1
Fault12,事故12,1
Fault13,事故13,1
Button_ShowWorld,指点江山,2
Button_Debug,调试,2
Button_Move,搬安,2
Button_Maintain,维护,2
Button_Fault,故障,2
guide_mode,导览篇,
operation_mode,操作篇,
debug_mode,调试篇,
safetyedu_mode,安全教育篇,
maintain_mode,检修维护篇,
transport_mode,搬安运输篇,
fault_mode,故障事故模拟篇,
gas_power_gen,燃气发电 ,
medium_voltage,中压变频及35KV高压配电房,
gas_power_gen_1,1-燃气发电机-检查燃料管路,
gas_power_gen_2,2-燃气发电机-开启燃气管道阀门,
gas_power_gen_3,3-燃气发电机-操作调压阀,
gas_power_gen_4,4-燃气发电机-上电前检查操作,
gas_power_gen_5,5-燃气发电机-直流屏上电操作,
gas_power_gen_6,6-燃气发电机-MCC柜操作,
gas_power_gen_7,7-燃气发电机-燃机及市电控制柜操作,
gas_power_gen_8,8-燃气发电机-高压开关柜操作,
gas_power_gen_9,9-燃气发电机-机组电气控制柜操作,
gas_power_gen_10,10-燃气发电机-启动前的巡检,
gas_power_gen_11,11-燃气发电机-机组本地启动操作准备工作,
gas_power_gen_12,12-燃气发电机-机组远程启动操作准备工作,
gas_power_gen_13,13-燃气发电机-机组本地启动,
gas_power_gen_14,14-燃气发电机-机组远程启动,
gas_power_gen_15,15-接通燃气操作,
gas_power_gen_16,16-燃气发电机组上电操作,
gas_power_gen_17,17-燃气发电机组本地启动,
gas_power_gen_18,18-燃气发电机组远程启动,
medium_voltage_1,1-35kV高压配电房-合闸操作,
medium_voltage_2,2-10kV配电房-合闸操作,
medium_voltage_3,3-10kV配电房-电源分配箱操作流程,
medium_voltage_4,4-VFD房-综合控制箱操作流程,
medium_voltage_5,5-VFD房-传动主回路上电前检查,
medium_voltage_6,6-ABB变频器-传动单元控制电源上电流程,
medium_voltage_7,7-ABB变频器-CDP控制盘启动操作,
medium_voltage_8,8-ABB变频器-CDP控制盘信号模式状态,
medium_voltage_9,9-ABB变频器-CDP控制盘当前故障及复位,
medium_voltage_10,10-ABB变频器-CDP控制盘历史故障及复位,
medium_voltage_11,11-ABB变频器-CDP控制盘参数设置模式,
medium_voltage_12,12-ABB变频器-CDP控制盘参数锁定,
medium_voltage_13,13-ABB变频器-CDP控制盘控制电机运行,
medium_voltage_14,14-VFD房-变频传动正常断电,
medium_voltage_15,15-VFD房-变频传动紧急断电,
medium_voltage_16,16-10kV配电房-分闸操作,
medium_voltage_17,17-35kV高压配电房-分闸操作,
medium_voltage_18,18-CDP控制盘的基础操作,
medium_voltage_19,19-10kV房分合闸操作,
medium_voltage_20,20-35kV房分合闸操作,
Gen_pos,发电机位置,
Genroof_pos,发电机房顶位置,
HighVoltRoom_pos,高压房位置,
ElectricRoom_pos,电控房位置,
Pipe_pos,管道位置,
VFD_pos,VFD房位置,
10kv_pos,10KV房位置,
btn_quit,退出,
btn_bubble,气泡开关,
btn_introduce,介绍开关,
btn_time,剩余时间,
btn_submit,提交考试,
btn_transport,传送,
btn_train,训练,
btn_exam,考试,
btn_setting,设置,
btn_mute,静音,
btn_add,+,
btn_divide,-,
txt_voice,音量,
inside_debug,场内调试,
live_debug,现场调试,
electric_gas_check,电气检修,
mechine_check,机械检修维护,
fault_check,故障检测,
live_debug_1,接线操作,
electric_gas_check_1,电气检修-燃气电控房上电前检查,
electric_gas_check_2,电气检修-燃气机启动前检查,
fault_check_1,燃气发电机控制房MCC柜故障,
mechine_check_1,检查燃料管路,
mechine_check_2,待加入压裂泵液力端检泵,
Button_Up,↑,
Button_Down,↓,
inside_debug_1,1-燃气发电机-机组本地启动操作准备工作,
inside_debug_2,2-燃气发电机-机组远程启动操作准备工作,
inside_debug_3,3-15KV配电房-综合控制箱操作流程,
inside_debug_4,4-VFD房-电源分配箱操作流程,
inside_debug_5,5-ABB变频器-传动单元控制电源上电流程,
inside_debug_6,6-ABB变频器-CDP控制盘启动操作,
inside_debug_7,7-ABB变频器-CDP控制盘信号模式状态,
inside_debug_8,8-ABB变频器-CDP控制盘当前故障及复位,
inside_debug_9,9-ABB变频器-CDP控制盘历史故障及复位,
inside_debug_10,10-ABB变频器-CDP控制盘参数设置模式,
inside_debug_11,11-ABB变频器-CDP控制盘参数锁定,
inside_debug_12,12-ABB变频器-CDP控制盘控制电机运行,
inside_debug_13,13-VFD房-变频传动正常断电,
inside_debug_14,14-VFD房-变频传动紧急断电,
gas_engine_1,1号发电机,
gas_engine_2,2号发电机,
gas_engine_3,3号发电机,
DKF_1,1号电控房,
DKF_2,2号电控房,
btn_mainmenu,主界面,main menu
start_btn,启动,start
btn_bumpscontrol,泵组控制,
btn_singlebumpcontrol,单泵控制,
btn_processcontrol,过程控制,
phase_work_time_title,阶段作业时间,
total_work_time_title,累计施工时间,
btn_bump1,泵1,
btn_bump2,泵2,
btn_bump3,泵3,
btn_bump4,泵4,
btn_bump5,泵5,
btn_bump6,泵6,
btn_bump7,泵7,
btn_bump8,泵8,
bumpstrokes_pointer,泵冲,
bumppower_pointer,功率,
bumpoilpress_pointer,油压,
bumpoutput_pointer,泵排量,
bumpinputpress_pointer,吸入压力,
bumppress_pointer,泵压,
bump_under_pointer1,油位,
bump_under_pointer2,电机转速,
bump_under_pointer3,电机电流,
bump_under_pointer4,电极电压,
bump_under_pointer5,电机绕组温度1,
bump_under_pointer6,电机绕组温度2,
bump_under_pointer7,电机绕组温度3,
bump_under_pointer8,油温,
bump_under_pointer9,电机扭矩,
bump_under_pointer10,电机左轴承温度,
bump_under_pointer11,电机右轴承温度,
bump_under_pointer12,A相温度,
bump_under_pointer13,B相温度,
bump_under_pointer14,C相温度,
