名称,第一语言,第二语言
Name,Firstlan,Secondlan
Button_FirstLan,中文,中文
Button_SecondLan,Russian,Russian
Debug1,调试1,rrr
Debug2,调试2,rrr
Debug3,调试3,rrr
Debug4,调试4,rrr
Debug5,调试5,rrr
Debug6,调试6,rrr
Debug7,调试7,rrr
Move1,搬安1,rrr
Move2,搬安2,rrr
Move3,搬安3,rrr
Maintain1,维护1,rrr
Maintain2,维护2,rrr
Fault1,事故1,rrr
Fault2,事故2,rrr
Fault3,事故3,rrr
Fault4,事故4,rrr
Fault5,事故5,rrr
Fault6,事故6,rrr
Fault7,事故7,rrr
Fault8,事故8,rrr
Fault9,事故9,rrr
Fault10,事故10,rrr
Fault11,事故11,rrr
Fault12,事故12,rrr
Fault13,事故13,rrr
Button_ShowWorld,指点江山,rrr
Button_Debug,调试,rrr
Button_Move,搬安,rrr
Button_Maintain,维护,rrr
Button_Fault,故障,rrr
